City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,balykshi,47.0667,51.8667,1.4,78,0,4.47,KZ,1670202590
307,hasaki,35.7333,140.8333,48.6,75,100,20.2,JP,1670202325
308,oviedo,43.3603,-5.8448,44.28,95,16,1.99,ES,1670202591
309,sibolga,1.7427,98.7792,75.07,93,100,1.32,ID,1670202591
310,gravdal,68.1214,13.5031,43.83,89,100,26.82,NO,1670202592
311,fez,34.0372,-4.9998,48.45,71,0,8.05,MA,1670202592
312,san lawrenz,36.0553,14.204,58.86,84,1,7.2,MT,1670202593
313,leningradskiy,69.3833,178.4167,12.9,95,100,14.12,RU,1670202593
314,morondava,-20.2833,44.2833,77.14,79,8,13.44,MG,1670202594
315,norman wells,65.282,-126.8329,-21.42,99,56,3.62,CA,1670202594
316,ilhabela,-23.7781,-45.3581,74.77,88,100,4.23,BR,1670202595
317,wronki,52.7105,16.3804,35.46,94,100,10.49,PL,1670202595
318,hambantota,6.1241,81.1185,73.74,100,40,2.3,LK,1670202596
319,trelew,-43.249,-65.3051,73.27,26,79,15.77,AR,1670202596
320,tlaltenango,19.1667,-98.3333,59.5,55,0,12.66,MX,1670202597
321,dudinka,69.4058,86.1778,24.62,95,100,15.14,RU,1670202598
322,price,39.5994,-110.8107,40.26,52,100,0.0,US,1670202598
323,el porvenir,13.7617,-87.3458,78.13,65,0,6.87,HN,1670202599
324,chiredzi,-21.05,31.6667,74.05,70,2,4.85,ZW,1670202599
325,poltavka,54.3663,71.7632,-4.81,98,7,3.24,RU,1670202314
326,diego de almagro,-26.3667,-70.05,67.35,29,0,3.49,CL,1670202601
327,adrar,20.5022,-10.0711,70.65,23,4,4.09,MR,1670202601
328,nefteyugansk,61.0998,72.6035,-10.48,100,100,2.15,RU,1670202307
329,verkhnyaya inta,65.9811,60.3094,2.23,98,98,5.97,RU,1670202602
330,asau,46.4333,26.4,27.52,98,100,3.71,RO,1670202399
331,tasiilaq,65.6145,-37.6368,28.56,65,87,3.29,GL,1670202603
332,evensk,61.95,159.2333,7.57,82,100,13.8,RU,1670202604
333,isangel,-19.55,169.2667,84.85,68,96,4.41,VU,1670202468
334,singaparna,-7.3515,108.111,78.75,76,66,1.21,ID,1670202605
335,galesong,-5.3166,119.3661,82.42,77,97,0.89,ID,1670202605
336,ust-ishim,57.6935,71.1665,-9.42,100,46,2.93,RU,1670202606
337,aklavik,68.2191,-135.0107,-12.64,97,84,8.41,CA,1670202606
338,erenhot,43.6475,111.9767,6.28,60,0,9.78,CN,1670202607
